Station,Year,Month,Day,Night,DayLimit,NightLimit
DEL01,2018,1,53,52,50,40
DEL01,2018,2,53,53,50,40
DEL01,2018,3,53,53,50,40
DEL01,2018,4,55,58,50,40
DEL01,2018,5,55,57,50,40
DEL01,2018,6,53,53,50,40
DEL01,2018,7,57,56,50,40
DEL01,2018,8,53,53,50,40
DEL01,2018,9,58,58,50,40
DEL01,2018,10,62,62,50,40
DEL01,2018,11,62,62,50,40
DEL01,2018,12,62,62,50,40
DEL02,2018,1,66,56,65,55
DEL02,2018,2,66,58,65,55
DEL02,2018,3,65,57,65,55
DEL02,2018,4,66,58,65,55
DEL02,2018,5,66,58,65,55
DEL02,2018,6,66,58,65,55
DEL02,2018,7,67,59,65,55
DEL02,2018,8,67,58,65,55
DEL02,2018,9,66,58,65,55
DEL02,2018,10,66,58,65,55
DEL02,2018,11,66,58,65,55
DEL02,2018,12,66,58,65,55
DEL03,2018,1,54,48,50,40
DEL03,2018,2,55,50,50,40
DEL03,2018,3,54,50,50,40
DEL03,2018,4,55,52,50,40
DEL03,2018,5,57,52,50,40
DEL03,2018,6,56,50,50,40
DEL03,2018,7,56,51,50,40
DEL03,2018,8,57,53,50,40
DEL03,2018,9,57,55,50,40
DEL03,2018,10,57,53,50,40
DEL03,2018,11,56,52,50,40
DEL03,2018,12,55,52,50,40
DEL04,2018,1,73,69,65,55
DEL04,2018,2,73,69,65,55
DEL04,2018,3,73,69,65,55
DEL04,2018,4,73,70,65,55
DEL04,2018,5,72,70,65,55
DEL04,2018,6,72,70,65,55
DEL04,2018,7,73,70,65,55
DEL04,2018,8,73,70,65,55
DEL04,2018,9,73,70,65,55
DEL04,2018,10,74,70,65,55
DEL04,2018,11,74,70,65,55
DEL04,2018,12,74,70,65,55
DEL05,2018,1,58,54,50,40
DEL05,2018,2,58,56,50,40
DEL05,2018,3,58,55,50,40
DEL05,2018,4,57,55,50,40
DEL05,2018,5,57,55,50,40
DEL05,2018,6,57,54,50,40
DEL05,2018,7,56,56,50,40
DEL05,2018,8,57,55,50,40
DEL05,2018,9,57,54,50,40
DEL05,2018,10,57,55,50,40
DEL05,2018,11,57,54,50,40
DEL05,2018,12,58,56,50,40
DEL06,2018,1,61,58,65,55
DEL06,2018,2,61,58,65,55
DEL06,2018,3,61,59,65,55
DEL06,2018,4,61,59,65,55
DEL06,2018,5,60,59,65,55
DEL06,2018,6,61,60,65,55
DEL06,2018,7,62,60,65,55
DEL06,2018,8,61,59,65,55
DEL06,2018,9,62,58,65,55
DEL06,2018,10,61,59,65,55
DEL06,2018,11,60,58,65,55
DEL06,2018,12,61,58,65,55
DEL07,2018,1,60,53,50,40
DEL07,2018,2,61,55,50,40
DEL07,2018,3,59,54,50,40
DEL07,2018,4,62,55,50,40
DEL07,2018,5,60,55,50,40
DEL07,2018,6,60,55,50,40
DEL07,2018,7,61,55,50,40
DEL07,2018,8,61,55,50,40
DEL07,2018,9,62,54,50,40
DEL07,2018,10,60,54,50,40
DEL07,2018,11,65,56,50,40
DEL07,2018,12,62,54,50,40
DEL08,2018,1,66,63,65,55
DEL08,2018,2,67,64,65,55
DEL08,2018,3,67,64,65,55
DEL08,2018,4,68,65,65,55
DEL08,2018,5,68,65,65,55
DEL08,2018,6,67,64,65,55
DEL08,2018,7,67,65,65,55
DEL08,2018,8,64,62,65,55
DEL08,2018,9,65,62,65,55
DEL08,2018,10,64,62,65,55
DEL08,2018,11,65,63,65,55
DEL08,2018,12,67,68,65,55
DEL09,2018,1,55,47,50,40
DEL09,2018,2,57,48,50,40
DEL09,2018,3,56,49,50,40
DEL09,2018,4,57,49,50,40
DEL09,2018,5,56,49,50,40
DEL09,2018,6,56,50,50,40
DEL09,2018,7,62,53,50,40
DEL09,2018,8,56,54,50,40
DEL09,2018,9,56,48,50,40
DEL09,2018,10,62,56,50,40
DEL09,2018,11,55,49,50,40
DEL09,2018,12,55,48,50,40
DEL10,2018,1,59,51,55,45
DEL10,2018,2,60,52,55,45
DEL10,2018,3,59,51,55,45
DEL10,2018,4,60,53,55,45
DEL10,2018,5,60,55,55,45
DEL10,2018,6,62,55,55,45
DEL10,2018,7,60,53,55,45
DEL10,2018,8,60,52,55,45
DEL10,2018,9,60,52,55,45
DEL10,2018,10,58,51,55,45
DEL10,2018,11,58,53,55,45
DEL10,2018,12,58,52,55,45
BEN01,2018,1,62,62,55,45
BEN01,2018,2,60,59,55,45
BEN01,2018,3,59,58,55,45
BEN01,2018,4,60,60,55,45
BEN01,2018,5,65,65,55,45
BEN01,2018,6,67,67,55,45
BEN01,2018,7,68,67,55,45
BEN01,2018,8,68,67,55,45
BEN01,2018,9,70,69,55,45
BEN01,2018,10,67,67,55,45
BEN01,2018,11,67,67,55,45
BEN01,2018,12,68,67,55,45
BEN02,2018,1,55,53,65,55
BEN02,2018,2,59,52,65,55
BEN02,2018,3,59,56,65,55
BEN02,2018,4,55,54,65,55
BEN02,2018,5,55,66,65,55
BEN02,2018,6,51,49,65,55
BEN02,2018,7,59,56,65,55
BEN02,2018,8,74,69,65,55
BEN02,2018,9,62,59,65,55
BEN02,2018,10,61,59,65,55
BEN02,2018,11,60,58,65,55
BEN02,2018,12,59,56,65,55
BEN03,2018,1,74,67,55,45
BEN03,2018,2,75,68,55,45
BEN03,2018,3,77,71,55,45
BEN03,2018,4,76,69,55,45
BEN03,2018,5,75,70,55,45
BEN03,2018,6,77,73,55,45
BEN03,2018,7,77,72,55,45
BEN03,2018,8,75,71,55,45
BEN03,2018,9,74,69,55,45
BEN03,2018,10,62,56,55,45
BEN03,2018,11,63,57,55,45
BEN03,2018,12,56,50,55,45
